mid,retweeted_status_mid,uid,retweeted_uid,source,image,text,geo,created_at,deleted_last_seen,permission_denied
mCClUNCqwe,mU5j0dIAkQ,uK3RXUJ0V,,新浪微博,0,转发微博,,2012-01-03 02:02:27,,
mRsOcOLTlc,mJGNX5nAmo,uK3RXUJ0V,,新浪微博,0,!!!!!!!!!@uK3RXUYW3： //@u0AGMTTVD：  ！！！！！！！！,,2012-01-03 01:17:39,,
mH44qG6iUm,mH44qL9LlF,uK3RXUJ0V,,新浪微博,0,求一切順利!!!,,2012-01-03 01:15:36,,
mZmwFtOdVX,mcyE5GR7GJ,uK3RXUJ0V,,新浪微博,0,想要><@uK3RXUYW3： //@ukn：  全都想要啊QAQ,,2012-01-03 01:12:55,,
mQkLJSl8bf,muy8VxftBB,uK3RXUJ0V,,新浪微博,0,//@ukn：  //@uMLLV3ZCO：  转发微博,,2012-01-03 01:10:42,,
mnzrsoGWNN,mNfGcUeZbK,uK3RXUJ0V,,新浪微博,0,//@ukn：  //@ukn：  吐槽点太多- -//@ukn：  竟然没被吐槽//@ukn：  [偷笑]//@ukn：  而且竟然没有人吐槽他！,,2012-01-03 01:09:54,,
m2rVkbmLsg,m7nJhJ3W6z,uK3RXUJ0V,,新浪微博,0,係時侯迫害下大家~@uK3RXUYW3： @ukn： @ukn： @uQSMQTGXO： @BOICE_yeeman,,2012-01-03 01:08:45,,
mNfG6Xsbx5,mex2cwWppM,uK3RXUJ0V,,新浪微博,0,他又抽了xdd,,2012-01-03 00:54:07,,
mCVHzsScoY,m7nJ3YBbyo,uK3RXUJ0V,,新浪微博,0,哈哈哈,,2012-01-03 00:51:52,,
mdO3bmDotD,mqUTC9xyyM,uK3RXUJ0V,,新浪微博,0,@uK3RXUYW3： //@ukn：  //@ukn：  [可怜][可怜],,2012-01-03 00:44:08,,
mu9iEJwbEt,mPoMqa8zoK,uK3RXUJ0V,,新浪微博,0,太萌了><//@uKPK1KLQA：  边叠衣服边「味覚トゥッ~」也太萌了[发嗲],,2012-01-03 00:38:10,,
mT51VdbRj7,mrMzWfd2nM,uK3RXUJ0V,,新浪微博,0,//@ukn：  ！！！,,2012-01-02 23:00:13,,
m3zb0aii82,mSazECdURr,uK3RXUJ0V,,新浪微博,0,霸气~//@ukn：  [太開心]//@uW0ECUEMG：  [good]//@ukn：  噗 //@uJWAI1YNJ： 好霸气。。 // @uCBTBLHPS： :すげー // @ukn： :XD明天真的满满arashi,,2012-01-02 22:58:52,,
m2X81ImxzY,m9hq3KZgSv,uK3RXUJ0V,,新浪微博,0,//@ukn：  //@uOQZ5JAJB：  5.利达从头到尾都很紧张的样子，让看着的我都担心起来。除了要好好的完成自己的任务，有时候还要替歌手的讲话圆场。感受到了利达的紧张，nino在中途拍拍利达给他安慰。利达一定觉得安心了不少吧~6.迷宫。虽然磁石组一直抑制着，但还是互相眼神传情，颔首示意,,2012-01-02 22:51:06,,
mT51V7GBde,mvIdeMIjOE,uK3RXUJ0V,,新浪微博,0,//@ukn：  //@ukn：  //@uVEQEW1R2：  //@ukn：  [心][心][心],,2012-01-02 22:47:58,,
mkTNeH9MoL,mBcY0O532e,uK3RXUJ0V,,新浪微博,0,//@ukn：  美[花心]//@ukn：  @ukn： //@ukn：  //@uB4HSJ0XZ：  帅啊~~~[花心]//@ukn：  转发微博,,2012-01-02 20:46:42,,
mF8MzSG9OE,mgYszKvajx,uK3RXUJ0V,,新浪微博,0,//@ukn：  //@uW0EHZTCF：  年末真好看//@ukn：  转发微博,,2012-01-02 20:43:18,,
mZmwkRxlwt,m0kxhFBFkM,uK3RXUJ0V,,新浪微博,0,"//@uJWAA50NU：  這part我看不下十次了, 覺得比逃走更好笑XDD",,2012-01-02 20:02:12,,
m6Epkl3168,m7dAWAWsRt,uK3RXUJ0V,,新浪微博,0,噗...//@ukn：  //@ukn：  真纯情//@uW0EHUIOG：  噗…好闷骚啊！！！你是宅男吗？！哈哈哈,,2012-01-02 19:47:32,,
mzqhiz3244,mNlgDbriOH,uK3RXUJ0V,,新浪微博,0,//@ukn：  轉發微博,,2012-01-02 19:46:07,,
mnzr1afca5,mGCSLMjPQD,uK3RXUJ0V,,新浪微博,0,//@ukn：  //@ukn：  !!!!!!!!,,2012-01-02 19:38:17,,
mQW0upJ8CF,mdZXgX03qI,uK3RXUJ0V,,新浪微博,0,//@ukn：  //@uMLLV3ZCO：  [心],,2012-01-02 19:35:10,,
mt8Z9O0NPI,mL2ukV8Zwh,uK3RXUJ0V,,新浪微博,0,沒事吧?,,2012-01-02 19:33:07,,
muy8enPJaB,mjBQuUUday,uK3RXUJ0V,,新浪微博,0,><//@ukn：  最喜歡這張了！！！！！>/////<,,2012-01-02 19:31:45,,
m2Dii6y3B3,mP6R2venIs,uK3RXUJ0V,,新浪微博,0,@uK3RXUYW3： //@uBK1TNTG4：  嗯，一直都很亞撒西[心]//@uFAG44LJ： 小字：與相葉君一起去看了松本潤的舞台劇“啊，荒野”。“J很努力呢。演出結束後打了招呼就回去了。那天有完工宴。我和蜷川桑還有staff都認識，但是相葉君並不認識他們。如果我去參加完工宴，想著相葉君一個人要怎麼辦呢。於是就一起回去了。,,2012-01-02 19:30:16,,
mJt5nN2Ifz,mnzrydLMJS,uK3RXUJ0V,,新浪微博,0,//@ukn：  轉發微博,,2012-01-02 19:24:53,,
mrMzW0lLIA,,uBK141SAB,,新浪微博,1,好性感的奶嘴~,,2012-01-02 21:14:42,,
m2X8XjwFl3,mB1UqCSw3s,uK3RXUJ0V,,新浪微博,0,//@ukn：  //@uEMBAKWWR：  轉發微博,,2012-01-02 19:22:31,,
mcrP9nRPAQ,mZmwRlHE5R,uK3RXUJ0V,,新浪微博,0,//@ukn：  ><//@uVGJCZUP4：  早上好! [兔子],,2012-01-02 19:21:57,,
mevVsCECXg,mEjnc1nOt6,uK3RXUJ0V,,新浪微博,0,剛已經有人打電話告訴我了= =//@uK3RXUYW3：  !!!!!!!!!!!@ukn： //@ukn：  啊啊啊啊啊啊啊撒啊啊//@uY02ZFLAN： 哈？？？？？？？？？？？？ //@ukn：  aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa!一苦！,,2012-01-02 19:21:19,,
mUS9D2Kvpc,mAaBt22Ngj,uK3RXUJ0V,,新浪微博,0,//@ukn：  [可愛]//@uB5NFPQVZ：  我们都知道的//@ukn：  利达。。这个。。不是只有你知道的事= =估计全世界都知道。。我要听只有你知道的啦！！,,2012-01-02 19:17:06,,
mtqorFTrc9,mqJreQtEmZ,uK3RXUJ0V,,新浪微博,0,//@ukn：  //@ukn：  //@ukn：  我只记得有句Don't touch me（？）=_=//@uDZPISJH0：  我觉得XYYJ自己都不记得了…YJX他哪能都记得啊！佩服佩服,,2012-01-02 19:15:00,,
mex2gNANik,mcyEHkUEHB,uK3RXUJ0V,,新浪微博,0,//@ukn：  這真的要，命。賜我滿滿元氣！,,2012-01-02 19:11:46,,
mqJrVbNk72,mhif5YflrM,uK3RXUJ0V,,新浪微博,0,转发微博,,2012-01-02 19:10:33,,
mqJrVB2hb6,,uP2ZKPZ20,,新浪微博,0,http://t.cn/SVWAfP elva《逞强》以钢琴为主旋律，歌词很有诉说感…不妨听一听[呵呵],,2012-01-02 23:55:36,,
m5PYdS9Z4j,muy8eIk30k,uK3RXUJ0V,,新浪微博,0,//@ukn：  这腰线XDDD,,2012-01-02 19:07:20,,
m7nJFCgLiK,,uP2ZKPZ20,,新浪微博,0,有事儿找我的同xiao别call我电话了，直接私信。不是手机丢了~是没电！已经24小时了。为啥不充？因为充电器在车里！那为啥不去车里取？因为没车钥匙！！ @u1OVXQ4DU： 你这个管家怎么当的！！给我解释解释！ [憤怒][憤怒]我直接被困家里 你[怒][怒],,2012-01-02 18:57:21,,
mPoMLx0ARA,mtqorwXHiK,uK3RXUJ0V,,新浪微博,0,转发微博,,2012-01-02 19:05:56,,
mne7RwCZaJ,mSFZ0HPSMO,uK3RXUJ0V,,新浪微博,0,转发微博,,2012-01-02 19:04:54,,
mSFZpU8qVB,,uONPETMOB,,2012版Android客户端,0,"弊喇,好似有少少喉嚨痛添![抓狂]",,2012-01-03 09:03:35,,
mhif25Fin7,mzHa6QcT2x,uK3RXUJ0V,,新浪微博,0,//@uHJXKIHKM：  //@ukn：  [哈哈]不要黑他嘛!!~//@ukn：  哈哈哈..不要黑他啦~//@ukn：  哈哈哈//@ukn：  //@ukn：  [哈哈]//@uRUWC033：  转发微博,,2012-01-02 01:48:07,,
mjBQVsjogW,,uONPETMOB,,2012版Android客户端,0,"唔知係咪今日瞓得多,到而家都末瞓得著.[泪]",,2012-01-03 02:43:06,,
m5PYTHmzWV,,uP2ZKZFAU,,新浪微博,1,2012年“元旦奇幻夜”上海音乐学院声乐歌剧系 by 視覺旋律YESMUSIC.CC洪澤宇 作品 http://t.cn/SJ1oPl,,2012-01-02 04:04:02,,
mcyE2mpNF6,mf6mAMR9nt,uK3RXUJ0V,,新浪微博,0,//@ukn：  轉發微博,,2012-01-02 01:47:31,,
mHBefC6k6N,,uPKFL33HE,,皮皮时光机,1,【射手座癖好】没事喜欢胡思乱想；性格与脾气都比较极端；嗜睡；喜欢裸睡；泪腺发达，易被感动；喜欢跟喜欢的人身体接触，恨不得把身体揉进去那种；有些悲观；支配欲；有较强的依赖感；偏执，苛求完美；双重性格；一般很抗拒有人走近，不喜欢听见周围有人不停交谈；经常表现出对什么都不在乎。   ,,2012-01-03 12:51:02,,
mT51vpjIjv,,uONPETMOB,,2012版Android客户端,0,我要瞓覺喇![睡觉],,2012-01-03 02:11:22,,
m3zb5DdYGX,,uONPETMOB,,2012版Android客户端,0,"昨天連續兩個半小時開心排球,換來了今天全身酸痛.[衰]",,2012-01-02 21:41:17,,
m3e5bkbhh8,,uPKFL33HE,,皮皮时光机,1,有被射手座爱过的朋友，你们幸福吗？呵呵，被射手座爱过，你还有能力自拔吗？绝对的温柔……经常听别人讲，射手座吸引人的地方就是，自己莫名的就想和射手座结婚了……射手座太好了，有家的感觉，很温暖，给对方超级多的关爱，感觉到被疼爱，依恋等等。   ,,2012-01-03 10:51:04,,
mRsOtz9LYe,mT51uQjXn1,uK3RXUJ0V,,新浪微博,0,= =//@ukn：  轉發微博,,2012-01-02 01:25:43,,
mvIdZvZzvU,m5PY7qGuMY,uK3RXUJ0V,,新浪微博,0,快點康復一起吃^^還有新年快樂//@uQSMQTGXO：  病好去吃好的[嘻嘻]//@ukn： 我都好想食美食呀，我而家淨係可以食光酥餅only[淚][淚] // @uQSMQTGXO： :快点康复啊，然后一起去吃香港的美食[爱你],,2012-01-02 01:21:42,,
m9IpohRFs6,,uPKFL33HE,,皮皮时光机,1,或许射手自己都不知道，Ta也是缺乏温暖的孩子，却总给别人播撒阳光。久而久之，伪装的坚强已成为保护壳。若你敢对射手说：别都自己扛你还有我。Ta便会卸下所有武装，像孩子一样依赖你。你会看到Ta并没有你想象中的那样坚强。只要你说了，那就别离开这个已经为了你脆弱的Ta。,,2012-01-02 21:51:05,,
mNTxsDdjxF,,uONPETMOB,,2012版Android客户端,0,今日放假終於可以舒舒服服在家中.[嘻嘻],,2012-01-02 21:36:18,,
mF8MQjY2fN,mSFZ8CJp2i,uK3RXUJ0V,,新浪微博,0,//@u351U3VNL：  //@uPA3DIOJX：  //@uK3RUUEZU：  陰公! 連AIBA都不跟你玩啦XDD,,2012-01-02 00:40:48,,
mtqonG9Zqd,,uPKFL33HE,,皮皮时光机,1,射手座女生瘦不下来的原因:得过且过 !射手座的女生即使很胖，可是如果她得过且过的觉得这样就好，替自己找一些借口例如：自己又还没有胖到走不动、又带小孩需要体力、工作就是需要这么多的应酬、要瘦下来似乎有现实上的困难等等，这时要射手女瘦下来就是非常困难的一件事情。 ,,2012-01-02 14:51:05,,
m2X8yxELqX,,uONPETMOB,,2012版Android客户端,0,好累呀!不想起床！[抓狂],,2012-01-02 11:52:07,,
m3zbpPr54i,,uB5NOA2SS,,2012版Android客户端,0,今年去峨眉山过年[嘻嘻][哈哈][嘻嘻]大雪滂沱阿 shating[花心][偷笑] 冒险之旅,,2012-01-03 11:32:31,,
mvR4PoFe02,mRsOtX68ia,uK3RXUJ0V,,新浪微博,0,//@ukn：  //@uVGJCZUP4：  優しい！！(這段的反應萌翻了!!,,2012-01-02 00:25:15,,
mAaB6LpWCb,mzHahSqqXR,uB5NOA2SS,,2012版Android客户端,0,[爱你]新发型,,2012-01-03 09:10:32,,
mAaBnbmBZ3,,uTZ5BU1OH,,2012版Android客户端,0,轉播的頒獎禮結束了，我也要睡覺了，睡醒還有很多功課等著我完成!!!,,2012-01-02 03:53:00,,
mEjnckmHYR,mqJr38pzTU,uDSGGUNU,,新浪微博,0,[赞],,2012-01-02 20:35:34,,
m9IpsmF0C8,,uPKFL33HE,,皮皮时光机,1,【射手坐怎样克服相爱距离】异地恋中的任何阻碍都能被TA看成对真爱的考验，并且TA也有信心通过这些阻碍。最重要的是异地恋能给TA最喜爱的自由，可以恋爱，也可以有自己的小天地。应该多用关心的态度去了解远在他方的射手的生活状况，过得不好就要多给予关心和帮助，若是过得太逍遥就要多给些提醒。,,2012-01-02 12:51:03,,
mhif8Tmxd7,,uPKFL33HE,,皮皮时光机,1,射手座的人都真性情，爱恨分明，总是口是心非。如果吵架，没有多想，一定下一句话说的比对方更狠，更没有退路，然后不知道得意个什么。要命的自尊，喜欢简单就好，不喜欢世俗，一根筋想问题，开心时候什么都能丢一边，不开心时候一句话也不愿意说，可是我爱这个星座，下辈子还要做射手。  ,,2012-01-02 10:51:03,,
mSaCyrCupq,mvIdE2dNCd,uHRVNMSGA,,新浪微博,0,回复@ukn： 要喝够量，严重便秘患者要每天喝250毫升-500毫升自制酸奶，蜂蜜要凉开水冲服才有润肠效果。若更换成益生菌系列酸奶。缓解便秘效果更好！@uCBTCFCDZ： http://t.cn/hiF1s,,2012-01-05 11:06:52,,
mne7Z1MsMo,mAaB6Du03t,uQSM0Y4RC,,诺基亚C5_03,0,//@uWYNWPGNX： // @uQHCCCT34： : 急速转发[蜡烛]// @uWWBLDVAV： : 大家帮帮这为可怜的小孩吧~让他和家人早日团聚// @uAHFOWJQJ： ://  @uM1UHBBIL：  :  @uQHCZ4VDK：   @uAHFOWJQJ：   @宝贝回家,,2012-01-03 22:16:34,,
mne7Z1aDNz,mAaB6Du03t,uII5DACZ0,,新浪微博,0,//@uMMSVA2RB：  请转发 //@ukn： 转发微博,,2012-01-03 22:16:33,,
mZwlP0buXK,mAaB6Du03t,uATZSQYEB,,新浪微博,0,//@uPKFLM5YZ：  //@uRSRS51P1：  转发，可怜的孩子。,,2012-01-03 22:16:31,,
mcyEtpKFi6,mAaB6Du03t,uRUCU2QA,,新浪微博,0,//@ukn：  //@uVT4LTWA1：  //@uVT4C5MDG：  //@uMMSWTNRT：  //@uVT4LKHRL：  //@uMMSWRB3I：  //@ukn： 转发微博,,2012-01-03 22:16:31,,
mRsOwZOsmZ,mAaB6Du03t,uLMIKLFQC,,S60客户端,0,转发微博,,2012-01-03 22:16:28,,
mSFZnT5SyC,mAaB6Du03t,uBIBFPOU4,,iPad客户端,0,转发微博,,2012-01-03 22:16:26,,
m4wDjg7hLD,mAaB6Du03t,uK3XFRYZD,,华为手机,0,可怜啊,,2012-01-03 22:16:26,,
mF8M8syuY3,mAaB6Du03t,uR1WWH1D0,,2012版iPhone客户端,0,转发微博。,,2012-01-03 22:16:26,,
m2DiO96ACZ,mAaB6Du03t,uWWBHASRW,,新浪微博手机版,0,//@uWWBHD4VT： [心] //@uQHCCCT34：  急速转发[蜡烛] //@uWWBLDVAV：  大家帮帮这为可怜的小孩吧~让他和家人早日团聚 //@uAHFOWJQJ：  //@uM1UHBBIL： : @uQHCZ4VDK： @uAHFOWJQJ： @宝贝回家,,2012-01-03 22:16:15,,
m0idYzrKQM,mAaB6Du03t,uQHC0PYVV,,2012版Symbian客户端,0,//@u1O5M1NRD： // @uWYNWPGNX： ://  @uQHCCCT34：  : 急速转发[蜡烛]//  @uWWBLDVAV：  : 大家帮帮这为可怜的小孩吧~让他和家人早日团聚//  @uAHFOWJQJ：  ://   @uM1UHBBIL：   :   @uQHCZ4VDK：     @uAHFOWJQJ：     @宝贝回家,,2012-01-03 22:16:11,,
m0kxAvXFaO,mAaB6Du03t,uEMBAKNFB,,2012版Symbian客户端,0,[爱心传递],,2012-01-03 22:16:09,,
mNlcXsqhPd,mAaB6Du03t,uLCMDYZ2D,,Kjava客户端,0,转发微博。 //@uQHCCCT34： 急速转发[蜡烛] //@uWWBLDVAV：  大家帮帮这为可怜的小孩吧~让他和家人早日团聚 //@uAHFOWJQJ：  //@uM1UHBBIL： : @uQHCZ4VDK： @uAHFOWJQJ： @宝贝回家,,2012-01-03 22:16:08,,
mevVIe70rb,mAaB6Du03t,uONPER5VQ,,Android客户端,0,转发微博,,2012-01-03 22:16:07,,
m7dAJzWKwM,mAaB6Du03t,uAHFO1MKZ,,新浪微博,0,//@uVT4C4L0A：  //@uRULNVOU：  [可怜]//@uDZT2CFE5：  [可怜]//@uMMSCH0T2：  //@ukn：  //@uJ2O0ARDL：  //@uDGUXTZXB：  //@uSIAL3HWO：  //@uQHC3YR3E： : //@uONPE5LML： : //@uNEGOTWLN： : //@u3JH3EQAG： : //@ukn： : //@uWWBOZTQQ： :,,2012-01-03 22:16:01,,
mJt5jOeweN,mAaB6Du03t,uS5WVAYPQ,,新浪微博,0,转发微博,,2012-01-03 22:16:03,,
mZmwZd2x2w,mAaB6Du03t,uLCMYIJG1,,新浪微博手机版,0,//@uONPD1EMC：  //@uOQZLOEMB：  //@uHRVP3UH4： : 桐学们帮转 @uLCMKCSS1：   //@uPVDJZ4ZS： :大家帮忙 //@uSIABEW2F：  :  //@uVEQLZQGV：  : //@uLUCK0RF0：  :  //@uCBTJLQHO：  : 大家来帮忙。,,2012-01-03 22:16:01,,
m0kxAvKfLE,mAaB6Du03t,uWWBWTFI3,,新浪微博,0,转发~,,2012-01-03 22:15:56,,
m601YERCvT,mAaB6Du03t,uFAODMM1,,新浪微博,0,[泪]//@u1OVACJQY：  可怜的娃,,2012-01-03 22:15:55,,
m4wDjgNXP0,mAaB6Du03t,uB4HTUV5U,,iPad客户端,0,转发微博,,2012-01-03 22:15:56,,
mwuyGP09TN,mAaB6Du03t,uPKFT5MXC,,新浪微博,0,//@uWYNGNJ1J：  //@u1CR4INQN： // @uFADE1IS： : // @uVEQCDHUH： : // @uLMIMOCCQ： : 帮！,,2012-01-03 22:15:53,,
mzHaAWqIgZ,mAaB6Du03t,uTS2TUD2R,,新浪微博,0,//@uB5FIG2D1：  //@uQHCWXMAR：  希望孩子早日找到家人 //@uOQZQWIO0：  //@ukn：  哎。。。//@uVT4GLO04：  可怜的娃，可怜的母亲！//@uB5N4NMGN： //@uMMSVA2RB： 请转发 // @ukn： :转发微博,,2012-01-03 22:15:49,,
mGCSduLY4U,mAaB6Du03t,uOQZQXY00,,S60客户端,0,转发微博,,2012-01-03 22:15:48,,
mc93w5bV8Y,mAaB6Du03t,uDSCT0JP,,2012版iPhone客户端,0,转发微博。,,2012-01-03 22:15:41,,
m3e5yrhuvF,mAaB6Du03t,uRLOGXFTI,,新浪微博,0,帮忙转发，让宝贝快回家！//@ukn：  //@ukn：  //@uQHCCCT34： 急速转发[蜡烛]// @uWWBLDVAV： : 大家帮帮这为可怜的小孩吧~让他和家人早日团聚,,2012-01-03 22:15:41,,
m7nJuNnDH0,mAaB6Du03t,uHQY4ALNQ,,新浪微博,0,//@uM1UWK4WK：  [泪] //@ukn： 阿弥陀佛[心]// @u1OVACJQY： : 可怜的娃,,2012-01-03 22:15:24,,
m3zbnylSDO,mAaB6Du03t,u0VPP3JTJ,,新浪微博,0,//@uM1UWK4WK：  [泪] //@ukn： 阿弥陀佛[心]// @u1OVACJQY： : 可怜的娃,,2012-01-03 22:15:24,,
mRsOwZyPF9,mAaB6Du03t,u3511UIRE,,iPhone客户端,0,必须转！亲们，快点帮忙扩散！！！[给力][给力][给力][给力][给力][围观][围观][围观][围观],,2012-01-03 22:15:21,,
mAaBvsZwDZ,mt8uWV37rh,uMMSWZPRC,,新浪微博,0,转发！,,2012-01-06 17:38:26,,
mjxSOgqdb5,,uM1U5HNI5,,2012版Android客户端,1,饼干不错，法国进口。。[汗],,2012-01-03 14:20:57,,
mkbKwssISW,mjxSmEwKpg,uK3RXUJ0V,,新浪微博,0,那我們一定很長命[偷笑]//@ukn：  人家會[害羞]XDDDD//@uCBTJX0BE：  我也要每天看[酷][酷][酷]@ukn： @ukn： @ukn： //@uRLODFIKX： 天天看!,,2012-01-02 00:21:03,,
mL2uZlSvwu,,uK3RUZW1B,,皮皮时光机,1,今天再次验证了一个很微妙的现象 女的报手机号码都喜欢xxxx xxxx xxx。。。 男的都喜欢 xxx xxxx xxxx,,2012-01-03 13:00:14,,
mtqopnvy0u,mpGCCFgT5N,uK3RXUJ0V,,新浪微博,0,@uQSMQTGXO： @uK3RXUYW3： //@ukn：  疯了。你妹啊//@uQSMCF0IN：  。。。真·弱智= =+,,2012-01-02 00:03:22,,
mex2jwpMdP,,uK3RUZW1B,,皮皮时光机,1,现在还能脱口念出父母手机号码的请转发。。。我真念不出啊[泪] ,,2012-01-03 12:00:19,,
mH44vV6al5,m0idbroTWS,uK3RXUJ0V,,新浪微博,0,[偷笑]//@ukn：  [偷笑],,2012-01-02 00:00:44,,
mwQFxGNppd,,uK3RUZW1B,,皮皮时光机,1,最强寝室牛人，高手在宿舍。。。,,2012-01-03 11:00:19,,
mT51Bef2no,,uK3RUZW1B,,皮皮时光机,1,有童鞋网上定了一本2012台历，打开一看绝望了！12月只印到21号啊，这尼玛就是一本末日台历啊~[奥特曼] ,,2012-01-03 10:00:22,,
mJKbDjAPGb,,uK3RUZW1B,,皮皮时光机,1,脸经常被这样揉的孩纸转一个！！！[偷笑] ,,2012-01-03 09:00:25,,
m8E9C6TZvp,,uK3RUZW1B,,皮皮时光机,1,矮油，一大清早的前面就塞车~,,2012-01-03 08:00:19,,
m9Ipo9hSoV,,uK3RUZW1B,,皮皮时光机,1,把别人看得太重、结果却被别人看成什么都不是。。。,,2012-01-03 00:00:10,,
m5ucglazHa,,uK3RUZW1B,,皮皮时光机,1,送给各位高帅富~[偷笑] ,,2012-01-02 23:00:17,,
m7K7o4OxJw,,uK3RUZW1B,,皮皮时光机,1,这男朋友未免也过于关心女朋友了吧~[吃惊] ,,2012-01-02 22:00:59,,
m9IpotyvKT,,uK3RUZW1B,,皮皮时光机,1,雪豹、神秘而美~~,,2012-01-02 21:00:42,,
mpbgJEpNwd,,uK3RUZW1B,,皮皮时光机,1,小时候用这个使过坏的请默默转走~[嘻嘻] ,,2012-01-02 20:00:52,,
mtqorR5J6r,,uK3RUZW1B,,皮皮时光机,1,2B青年吃泡面~,,2012-01-02 19:00:18,,
mRck1rdEiP,,uK3RUZW1B,,皮皮时光机,1,医生，你肿么可以非礼呆同，老萧会弄死你的！[威武] ,,2012-01-02 18:00:31,,
mgwtqIHkJB,,uK3RUZW1B,,皮皮时光机,1,传递一句话：我有一个很棒的妈妈， 我爱她。[爱你] ,,2012-01-02 17:00:31,,
mEjngEPgYb,,uK3RUZW1B,,皮皮时光机,1,考试周，急头白脸的寻求考场中，看见下图景致，我瞬间泪崩了，学校破，也不能这样啊，是要考嗅觉吗？？？,,2012-01-02 16:00:28,,
mne7hGYPpP,,uK3RUZW1B,,皮皮时光机,1,这电梯太坑爹了 ！！！,,2012-01-02 15:03:04,,
m2X8y2JtUI,,uK3RUZW1B,,皮皮时光机,1,你只有一个妈妈，如果你感激她，爱她就转发。。。,,2012-01-02 12:00:19,,
mpGC84gfSx,,uK3RUZW1B,,皮皮时光机,1,看图猜八个手机品牌~猜中了么[偷笑] ,,2012-01-02 11:00:16,,
mF8MPdMk2Q,,uK3RUZW1B,,皮皮时光机,1,这叫做“钱袋”，8秒内顶，2012年财运滚滚来！[钱] ,,2012-01-02 09:00:23,,
mSazLyGh46,,uTZ5BU1OH,,2012版Android客户端,1,@ukn：  得獎名單(2),,2012-01-02 01:27:42,,
mCVHJCzoTv,,uB5NOA2SS,,2012版Android客户端,0,即使再见面 成熟地表演 不如不见 [怒]表示无论事隔多久偶然性甘同旧情人见面都会有种情绪滋生 关键呢种係负面情绪[哼]这种叫做扮叉烧效应 [抓狂]好了 这样的见面真虚伪 又何必再见阿[泪][泪] @ukn： @uII5WDKO1： @ukn： @凌晓明-human,,2012-01-02 20:06:41,,
muy8B12eeK,mex2c4drd3,u351QG4OV,,新浪微博,0,回复@uMMSCNXQY： 感动！惭愧！只有继续努力才能对得起这样的读者！ //@uMMSCNXQY： 我和朋友电话聊天，朋友说如果要他独自在岛上生活只能带一本书他会带《风流去》，还说看此书前他自问：我是不是该整理下衣袖。,,2012-01-03 11:11:47,,
mgkVZ0Dg1,,uB5NOA2SS,,2012版Android客户端,0,关我叉事 神经病神经病 melon同学们 我回来啦,,2012-01-02 19:48:28,,
m806VhMS7q,mex2c4drd3,u351QG4OV,,新浪微博,0,回复@u02LNT1JS： 是，我错了。我不知道他是一个在大学门口痛打老年乞丐的人。 //@u02LNT1JS： 林子大了什么鸟都有!鲍老师浪费文字了!你可是字字千金啊，为了这个鸟儿，你浪费太多!,,2012-01-03 11:07:29,,
mHBeHnCKef,,uB5NOA2SS,,2012版Android客户端,0,我回来了,,2012-01-02 19:42:03,,
mNfGjuLy25,mex2c4drd3,u351QG4OV,,新浪微博,0,回复@uEMBVUVBC： 我两没缘分，我已尽力。拜拜。世界很大，各做各的事，各走各的路。带着良心就行。 //@uEMBVUVBC： 回复@u351QG4OV： 你的谄媚写在了脸上。 //@uEMBVUVBC： 回复@u351QG4OV： 相由心生。,,2012-01-03 11:03:17,,